"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant Price","Variant Compare At Price","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description"
"permanent-mammoth","Permanent Mammoth","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","23.99","29.38","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Mammoth.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9NYW1tb3RoLndlYnAiLCJpYXQiOjE3NzU0OTA3NzksImV4cCI6MTgwNzAyNjc3OX0.4I7OwtYW4XIVnailnbOHXRLLkFss3KmDNjFFcE0nftU","1","Permanent Mammoth","Permanent Mammoth",""
"permanent-tiger","Permanent Tiger","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","30.75","37.50","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Tiger.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9UaWdlci53ZWJwIiwiaWF0IjoxNzc1NDg5ODEyLCJleHAiOjE4MDcwMjU4MTJ9.oRXAeBiGqB1SmbhhAfsx-Ercd4VMQsloEPsLdlbm1fk","1","Permanent Tiger","Permanent Tiger",""
"permanent-gas","Permanent Gas","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","22.75","31.25","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Gas.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9HYXMud2VicCIsImlhdCI6MTc3NTQ5MDQ2OSwiZXhwIjoxODA3MDI2NDY5fQ.FIUOeXr2dRABrXi03TZKsyp86cZgm3yZDdWBc32OVCo","1","Permanent Gas","Permanent Gas",""
"permanent-dragon","Permanent Dragon","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","48.21","62.50","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Dragonwhole.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9EcmFnb253aG9sZS53ZWJwIiwiaWF0IjoxNzc2MTg1ODMyLCJleHAiOjE4MDc3MjE4MzJ9.5jsWY2oe4xpJUwc9wdGxxl2_5UtVM6WVj_HNsqbY-sk","1","Permanent Dragon","Permanent Dragon",""
"permanent-control","Permanent Control","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","39.05","50.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Control.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Db250cm9sLndlYnAiLCJpYXQiOjE3NzU0OTAxODYsImV4cCI6MTgwNzAyNjE4Nn0.8qLCY6n-7xvDXPKXzYqeFcSN8-CZskrPKPS_UZgM2Js","1","Permanent Control","Permanent Control",""
"permanent-trex","Permanent T-rex","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","23.99","29.38","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/T-Rex.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9ULVJleC53ZWJwIiwiaWF0IjoxNzc1NDkwODc2LCJleHAiOjE4MDcwMjY4NzZ9.qxhkLWT0Ayezhc45y2ToMkgF1Yu7NRa73AHIRuVKARg","1","Permanent T-rex","Permanent T-rex",""
"permanent-yeti","Permanent Yeti","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","30.75","37.50","9","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Yeti.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9ZZXRpLndlYnAiLCJpYXQiOjE3NzU0ODk5NjYsImV4cCI6MTgwNzAyNTk2Nn0.o3dCCPJMm4f_gsMNyGT0_vdIgShQnJw1h3LuoaIhRR0","1","Permanent Yeti","Permanent Yeti",""
"permanent-kitsune","Permanent Kitsune","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","39.05","50.00","9","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Kitsune.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9LaXRzdW5lLndlYnAiLCJpYXQiOjE3NzU0ODkxNDUsImV4cCI6MTgwNzAyNTE0NX0.j1qrbRR-fMxLW2p6IS2dRIG1g9CB_nPj39sWOkcsxRU","1","Permanent Kitsune","Permanent Kitsune",""
"permanent-dough","Permanent Dough","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","23.00","30.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Dough.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Eb3VnaC53ZWJwIiwiaWF0IjoxNzc1NDkzODk2LCJleHAiOjE4MDcwMjk4OTZ9.hVrOr92sRwv4gBpJgO9N6wzbC2yx0gUDm29gMuaX220","1","Permanent Dough","Permanent Dough",""
"permanent-gravity","Permanent Gravity","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","21.99","28.75","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Gravity.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9HcmF2aXR5LndlYnAiLCJpYXQiOjE3NzU0OTM5NTAsImV4cCI6MTgwNzAyOTk1MH0.tRADWKywsWiooPupIu0AaMHjLOTZl1GLlKY0cjgsRd0","1","Permanent Gravity","Permanent Gravity",""
